X,O,pred,diff
#7YearsWith2NE1,O,O,0
URL1202,O,O,0
RT,O,O,0
@USER2644,O,O,0
:,O,O,0
@USER493,O,O,0
Do,O,O,0
you,O,O,0
miss,O,O,0
those,O,O,0
days,O,O,0
?,O,O,0
URL522,O,O,0
RT,O,O,0
@USER1052,O,O,0
:,O,O,0
To,O,O,0
all,O,O,0
those,O,O,0
it,O,O,0
does,O,O,0
n't,O,O,0
matter,O,O,0
to,O,O,0
because,O,O,0
they,O,O,0
'll,O,O,0
be,O,O,0
dead,O,O,0
soon,O,O,0
anyway,O,O,0
-,O,O,0
how,O,O,0
about,O,O,0
ticking,O,O,0
the,O,O,0
the,O,O,0
remain,O,O,0
box,O,O,0
for,O,O,0
those,O,O,0
w,O,O,0
…,O,O,0
I,O,O,0
'm,O,O,0
not,O,O,0
difficult,O,O,0
I,O,O,0
'm,O,O,0
just,O,O,0
about,O,O,0
my,O,O,0
business,O,O,0
!,O,O,0
@USER242,O,O,0
yea,O,O,0
ca,O,O,0
n't,O,O,0
😔,O,O,0
Please,O,O,0
shit,O,O,0
the,O,O,0
suck,O,O,0
up,O,O,0
@USER425,O,O,0
<,O,O,0
Kira,O,PER,1
is,O,O,0
committing,O,O,0
a,O,O,0
crime,O,O,0
himself,O,O,0
.,O,O,0
Everyone,O,O,0
commits,O,O,0
crimes,O,O,0
",",O,O,0
even,O,O,0
the,O,O,0
ones,O,O,0
who,O,O,0
keep,O,O,0
crimes,O,O,0
from,O,O,0
being,O,O,0
done,O,O,0
.,O,O,0
"""",O,O,0
L,O,O,0
pressed,O,O,0
>,O,O,0
Lake,O,O,0
Wind,O,O,0
Advisory,O,O,0
in,O,O,0
effect,O,O,0
from,O,O,0
9,O,O,0
AM,O,O,0
for,O,O,0
Angelina,LOC,PER,1
",",O,O,0
Cherokee,LOC,PER,1
",",O,O,0
Nacogdoches,LOC,LOC,0
",",O,O,0
Sabine,LOC,LOC,0
and,O,O,0
San,LOC,LOC,0
Augustine,LOC,LOC,0
Counties,LOC,LOC,0
#txwx,O,O,0
URL1304,O,O,0
RT,O,O,0
@USER98,O,O,0
:,O,O,0
The,O,O,0
#GRAMMYs,O,O,0
red,O,O,0
carpet,O,O,0
will,O,O,0
last,O,O,0
for,O,O,0
about,O,O,0
another,O,O,0
2,O,O,0
/,O,O,0
3,O,O,0
hours,O,O,0
.,O,O,0
Ariana,PER,PER,0
could,O,O,0
come,O,O,0
late,O,O,0
",",O,O,0
we,O,O,0
'll,O,O,0
see,O,O,0
.,O,O,0
Treat,O,O,0
me,O,O,0
like,O,O,0
a,O,O,0
queen,O,O,0
",",O,O,0
buy,O,O,0
me,O,O,0
CERTAIN,O,O,0
things,O,O,0
",",O,O,0
just,O,O,0
show,O,O,0
me,O,O,0
how,O,O,0
life,O,O,0
pose,O,O,0
to,O,O,0
be,O,O,0
😏👌🏾,O,O,0
#LokerEvent,O,O,0
Web,O,O,0
Designer,O,O,0
URL1001,O,O,0
I,O,O,0
do,O,O,0
n't,O,O,0
think,O,O,0
i,O,O,0
really,O,O,0
have,O,O,0
a,O,O,0
type,O,O,0
",",O,O,0
I,O,O,0
think,O,O,0
a,O,O,0
type,O,O,0
has,O,O,0
me,O,O,0
.,O,O,0
All,O,O,0
the,O,O,0
same,O,O,0
guys,O,O,0
come,O,O,0
for,O,O,0
me,O,O,0
🤔,O,O,0
Arts,O,O,0
L1,O,O,0
',O,O,0
Repair,ORG,O,1
Matters,ORG,O,1
',O,O,0
group,O,O,0
hopes,O,O,0
to,O,O,0
empower,O,O,0
people,O,O,0
with,O,O,0
fix,O,O,0
it,O,O,0
skills,O,O,0
URL550,O,O,0
@USER2073,O,O,0
@USER1698,O,O,0
Congratulations,O,O,0
on,O,O,0
being,O,O,0
front,O,O,0
page,O,O,0
news,O,O,0
!,O,O,0
@USER2274,O,O,0
Hhhahahh,O,O,0
just,O,O,0
take,O,O,0
number,O,O,0
12,O,O,0
Then,O,O,0
😂😂,O,O,0
RT,O,O,0
@USER896,O,O,0
:,O,O,0
Chris,PER,PER,0
Brown,PER,PER,0
started,O,O,0
the,O,O,0
trend,O,O,0
of,O,O,0
freestyle,O,O,0
dancing,O,O,0
to,O,O,0
"""",O,O,0
young,MISC,MISC,0
thug,MISC,MISC,0
/,O,O,0
future,MISC,O,1
/,O,O,0
rich,MISC,O,1
homie,MISC,O,1
quan,MISC,O,1
"""",O,O,0
songs,O,O,0
during,O,O,0
his,O,O,0
concerts,O,O,0
.,O,O,0
I,O,O,0
see,O,O,0
…,O,O,0
RT,O,O,0
@USER467,O,O,0
:,O,O,0
Marcus,PER,PER,0
Rashford,PER,PER,0
dribbled,O,O,0
past,O,O,0
3,O,O,0
players,O,O,0
v,O,O,0
#ISL,O,ORG,1
.,O,O,0
No,O,O,0
player,O,O,0
on,O,O,0
the,O,O,0
pitch,O,O,0
managed,O,O,0
more,O,O,0
.,O,O,0
He,O,O,0
played,O,O,0
for,O,O,0
5,O,O,0
f**king,O,O,0
minutes,O,O,0
.,O,O,0
…,O,O,0
Mf,O,O,0
what,O,O,0
?,O,O,0
URL619,O,O,0
RT,O,O,0
@USER10,O,O,0
:,O,O,0
Indianapolis,LOC,LOC,0
wicked,O,O,0
wicked,O,O,0
wicked,O,O,0
vibes,O,O,0
..,O,O,0
purple,MISC,O,1
reign,MISC,O,1
fanatics,O,O,0
☔️,O,O,0
love,O,O,0
forever,O,O,0
@USER86,O,O,0
@USER979,O,O,0
such,O,O,0
a,O,O,0
basic,O,O,0
but,O,O,0
difficult,O,O,0
mission,O,O,0
.,O,O,0
Lol,O,O,0
girls,O,O,0
are,O,O,0
funny,O,O,0
I,O,O,0
am,O,O,0
streaming,O,O,0
on,O,O,0
#BIGOLIVE,O,O,0
.,O,O,0
Join,O,O,0
now,O,O,0
!,O,O,0
URL764,O,O,0
URL284,O,O,0
@USER1109,O,O,0
@USER538,O,O,0
@USER266,O,O,0
I,O,O,0
have,O,O,0
not,O,O,0
.,O,O,0
Should,O,O,0
I,O,O,0
?,O,O,0
URL1098,O,O,0
@USER2569,O,O,0
thank,O,O,0
you,O,O,0
:),O,O,0
RT,O,O,0
@USER472,O,O,0
:,O,O,0
Me,O,O,0
:,O,O,0
I,O,O,0
'm,O,O,0
really,O,O,0
tryin,O,O,0
to,O,O,0
save,O,O,0
money,O,O,0
Friends,O,O,0
:,O,O,0
let,O,O,0
's,O,O,0
all,O,O,0
go,O,O,0
out,O,O,0
to,O,O,0
eat,O,O,0
Me,O,O,0
:,O,O,0
URL1299,O,O,0
RT,O,O,0
@USER1584,O,O,0
:,O,O,0
"""",O,O,0
I,O,O,0
'm,O,O,0
always,O,O,0
having,O,O,0
to,O,O,0
look,O,O,0
over,O,O,0
my,O,O,0
shoulder,O,O,0
.,O,O,0
"""",O,O,0
Why,O,O,0
we,O,O,0
're,O,O,0
still,O,O,0
talking,O,O,0
about,O,O,0
racism,O,O,0
:,O,O,0
URL599,O,O,0
can,O,O,0
someone,O,O,0
get,O,O,0
me,O,O,0
gars,O,O,0
i,O,O,0
have,O,O,0
the,O,O,0
money,O,O,0
lol,O,O,0
RT,O,O,0
@USER1753,O,O,0
:,O,O,0
No,O,O,0
lie,O,O,0
GSU,ORG,ORG,0
was,O,O,0
lit,O,O,0
on,O,O,0
this,O,O,0
night,O,O,0
#GSU,O,O,0
#StateNotSouthern,O,O,0
URL368,O,O,0
RT,O,O,0
@USER295,O,O,0
:,O,O,0
Senegal,LOC,LOC,0
's,O,O,0
Lake,LOC,ORG,1
Retba,LOC,ORG,1
owes,O,O,0
its,O,O,0
pink,O,O,0
color,O,O,0
to,O,O,0
the,O,O,0
presence,O,O,0
of,O,O,0
carotenoids,O,O,0
produced,O,O,0
by,O,O,0
an,O,O,0
algae,O,O,0
.,O,O,0
#Senegal,O,O,0
#funfacts,O,O,0
URL221,O,O,0
…,O,O,0
@USER166,O,O,0
remove,O,O,0
the,O,O,0
words,O,O,0
"""",O,O,0
with,O,O,0
men,O,O,0
on,O,O,0
base,O,O,0
"""",O,O,0
Revealed,MISC,O,1
Radio,MISC,O,1
070,O,O,0
-,O,O,0
The,O,ORG,1
Chainsmokers,O,ORG,1
and,O,O,0
Hardwell,O,ORG,1
URL1042,O,O,0
🔥🙌👏,O,O,0
Got,O,O,0
these,O,O,0
beauties,O,O,0
today,O,O,0
from,O,O,0
@USER124,O,O,0
🌙💋,O,O,0
URL315,O,O,0
RT,O,O,0
@USER1192,O,O,0
:,O,O,0
drunk,O,O,0
texts,O,O,0
are,O,O,0
cute,O,O,0
because,O,O,0
while,O,O,0
their,O,O,0
mind,O,O,0
is,O,O,0
n't,O,O,0
functioning,O,O,0
correctly,O,O,0
",",O,O,0
you,O,O,0
're,O,O,0
still,O,O,0
on,O,O,0
it,O,O,0
I,O,O,0
'm,O,O,0
artistic,O,O,0
you,O,O,0
niggas,O,O,0
are,O,O,0
autistic,O,O,0
retarted,O,O,0
🙄,O,O,0
RT,O,O,0
@USER1761,O,O,0
:,O,O,0
Bad,O,O,0
habit,O,O,0
:,O,O,0
staying,O,O,0
up,O,O,0
all,O,O,0
night,O,O,0
thinking,O,O,0
about,O,O,0
someone,O,O,0
whos,O,O,0
probably,O,O,0
thinking,O,O,0
about,O,O,0
som,O,O,0
…,O,O,0
Great,O,O,0
chance,O,O,0
to,O,O,0
nominate,O,O,0
the,O,O,0
best,O,O,0
&,O,O,0
brightest,O,O,0
from,O,O,0
our,O,O,0
AMC,ORG,ORG,0
community,O,O,0
!,O,O,0
URL1351,O,O,0
#assnchat,O,O,0
#assnprofs,O,O,0
Your,O,O,0
Local,O,O,0
Doppler,MISC,O,1
Radar,O,O,0
URL891,O,O,0
#roundrock,O,O,0
RT,O,O,0
@USER1625,O,O,0
:,O,O,0
68,O,O,0
.,O,O,0
my,O,O,0
girl,O,O,0
getting,O,O,0
all,O,O,0
dolled,O,O,0
up,O,O,0
😍,O,O,0
URL1113,O,O,0
Just,O,O,0
posted,O,O,0
a,O,O,0
photo,O,O,0
URL1284,O,O,0
📷,O,O,0
Purchase,O,O,0
my,O,O,0
special,O,O,0
edition,O,O,0
of,O,O,0
Alternative,ORG,O,1
Revolution,ORG,O,1
Magazine,ORG,O,1
at,O,O,0
URL748,O,O,0
URL888,O,O,0
RT,O,O,0
@USER1005,O,O,0
:,O,O,0
She,O,O,0
is,O,O,0
on,O,O,0
another,O,O,0
level,O,O,0
😍,O,O,0
URL586,O,O,0
I,O,O,0
'm,O,O,0
craving,O,O,0
the,O,O,0
parlor,O,O,0
soooo,O,O,0
bad,O,O,0
@USER2636,O,O,0
i,O,O,0
m,O,O,0
only,O,O,0
65,O,O,0
days,O,O,0
from,O,O,0
taking,O,O,0
over,O,O,0
imagine,O,O,0
being,O,O,0
able,O,O,0
to,O,O,0
budget,O,O,0
that,O,O,0
must,O,O,0
be,O,O,0
so,O,O,0
nice,O,O,0
A3174,O,O,0
[,O,O,0
NEW,O,O,0
],O,O,0
Authorizes,O,O,0
special,O,O,0
striped,O,O,0
bass,O,O,0
license,O,O,0
plate,O,O,0
.,O,O,0
URL879,O,O,0
@USER2627,O,O,0
is,O,O,0
so,O,O,0
nice,O,O,0
to,O,O,0
me,O,O,0
on,O,O,0
Twitter,ORG,ORG,0
but,O,O,0
so,O,O,0
mean,O,O,0
on,O,O,0
Instagram,ORG,ORG,0
??,O,O,0
@USER1699,O,O,0
@USER843,O,O,0
POSSIBLEEEEEE,O,O,0
",",O,O,0
POSSILBEEEEEEEEEEEEEEEE,O,O,0
.,O,O,0
*,O,O,0
chants,O,O,0
"""",O,O,0
cousins,O,O,0
"""",O,O,0
over,O,O,0
and,O,O,0
over,O,O,0
again,O,O,0
*,O,O,0
He,O,O,0
looks,O,O,0
at,O,O,0
me,O,O,0
!!,O,O,0
@USER1200,O,O,0
URL340,O,O,0
Yamaha,ORG,ORG,0
’s,O,O,0
Rossi,PER,PER,0
gets,O,O,0
contract,O,O,0
extension,O,O,0
through,O,O,0
2018,O,O,0
:,O,O,0
Valentino,PER,PER,0
Rossi,PER,PER,0
has,O,O,0
extended,O,O,0
his,O,O,0
contract,O,O,0
with,O,O,0
Yamaha,ORG,ORG,0
for,O,O,0
...,O,O,0
URL849,O,O,0
RT,O,O,0
@USER326,O,O,0
:,O,O,0
Gucci,PER,PER,0
Mane,PER,PER,0
is,O,O,0
going,O,O,0
on,O,O,0
tour,O,O,0
after,O,O,0
being,O,O,0
released,O,O,0
from,O,O,0
prison,O,O,0
in,O,O,0
September,O,O,0
URL791,O,O,0
RT,O,O,0
@USER702,O,O,0
:,O,O,0
',O,O,0
Jesus,PER,PER,0
please,O,O,0
mention,O,O,0
my,O,O,0
name,O,O,0
when,O,O,0
you,O,O,0
talk,O,O,0
to,O,O,0
your,O,O,0
Father,O,O,0
today,O,O,0
...,O,O,0
',O,O,0
🙏🏽,O,O,0
@USER468,O,O,0
good,O,O,0
",",O,O,0
now,O,O,0
they,O,O,0
'll,O,O,0
make,O,O,0
their,O,O,0
own,O,O,0
money,O,O,0
and,O,O,0
wo,O,O,0
n't,O,O,0
have,O,O,0
to,O,O,0
charge,O,O,0
men,O,O,0
for,O,O,0
love,O,O,0
.,O,O,0
URL454,O,O,0
RT,O,O,0
@USER451,O,O,0
:,O,O,0
Naruto,PER,PER,0
:,O,O,0
Hey,O,O,0
let,O,O,0
's,O,O,0
go,O,O,0
get,O,O,0
some,O,O,0
ramen,O,O,0
!!,O,O,0
Sasuke,PER,PER,0
:,O,O,0
shut,O,O,0
up,O,O,0
and,O,O,0
get,O,O,0
off,O,O,0
my,O,O,0
lawn,O,O,0
",",O,O,0
loser,O,O,0
Itachi,PER,PER,0
:,O,O,0
now,O,O,0
now,O,O,0
Sasuke,PER,PER,0
be,O,O,0
nice,O,O,0
URL221,O,O,0
…,O,O,0
BETFAIR,ORG,ORG,0
-,O,O,0
Bet,O,O,0
£,O,O,0
10,O,O,0
Get,O,O,0
£,O,O,0
30,O,O,0
+,O,O,0
Double,O,O,0
Winnings,O,O,0
on,O,O,0
Everton,ORG,ORG,0
v,O,O,0
Man,ORG,O,1
Utd,ORG,ORG,0
if,O,O,0
both,O,O,0
teams,O,O,0
score,O,O,0
URL242,O,O,0
#FACup,O,O,0
URL1139,O,O,0
RT,O,O,0
@USER259,O,O,0
:,O,O,0
Swervin,O,PER,1
thru,O,O,0
my,O,O,0
ends,O,O,0
Taylor,PER,PER,0
Swift,PER,PER,0
‘s,O,O,0
boyfriend,O,O,0
Calvin,PER,PER,0
Harris,PER,PER,0
Injured,O,O,0
In,O,O,0
a,O,O,0
Terrible,O,O,0
Car,O,O,0
Accident,O,O,0
URL625,O,O,0
URL1436,O,O,0
what,O,O,0
song,O,O,0
-,O,O,0
RT,O,O,0
@USER139,O,O,0
:,O,O,0
The,O,O,0
first,O,O,0
"""",O,O,0
haters,O,O,0
will,O,O,0
say,O,O,0
it,O,O,0
's,O,O,0
fake,O,O,0
"""",O,O,0
video,O,O,0
to,O,O,0
make,O,O,0
me,O,O,0
laugh,O,O,0
😂,O,O,0
URL911,O,O,0
RT,O,O,0
@USER478,O,O,0
:,O,O,0
CHAMPIONS,O,O,0
!!!!,O,O,0
URL1377,O,O,0
RT,O,O,0
@USER2501,O,O,0
:,O,O,0
(,O,O,0
credits,O,O,0
to,O,O,0
blackangel94a,PER,O,1
on,O,O,0
tumblr,ORG,ORG,0
),O,O,0
URL1577,O,O,0
RT,O,O,0
@USER2052,O,O,0
:,O,O,0
qn,O,O,0
:,O,O,0
which,O,O,0
artist,O,O,0
do,O,O,0
you,O,O,0
want,O,O,0
to,O,O,0
collab,O,O,0
with,O,O,0
the,O,O,0
most,O,O,0
?,O,O,0
hansol,PER,O,1
:,O,O,0
Any,O,O,0
URL1628,O,O,0
@USER2460,O,O,0
Me,O,O,0
too,O,O,0
.,O,O,0
Looking,O,O,0
forward,O,O,0
to,O,O,0
the,O,O,0
delivery,O,O,0
tomorrow,O,O,0
.,O,O,0
It,O,O,0
s,O,O,0
a,O,O,0
legit,O,O,0
hustle,O,O,0
URL408,O,O,0
RT,O,O,0
@USER1425,O,O,0
:,O,O,0
The,O,O,0
UNCOMFORTABLE,O,O,0
CONVERSATIONS,O,O,0
series,O,O,0
starts,O,O,0
today,O,O,0
!!!,O,O,0
Make,O,O,0
sure,O,O,0
your,O,O,0
there,O,O,0
!!!,O,O,0
@,O,O,0
LTB,O,O,0
5,O,O,0
",",O,O,0
6,O,O,0
-,O,O,0
8,O,O,0
PM,O,O,0
.,O,O,0
URL1048,O,O,0
'Cause,O,O,0
I,O,O,0
'm,O,O,0
as,O,O,0
free,O,O,0
as,O,O,0
a,O,O,0
bird,O,O,0
now,O,O,0
Oh,O,O,0
goddam,O,O,0
nit,O,O,0
I,O,O,0
cried,O,O,0
at,O,O,0
work,O,O,0
again,O,O,0
RT,O,O,0
@USER2453,O,O,0
:,O,O,0
@USER1838,O,O,0
good,O,O,0
evening,O,O,0
!,O,O,0
(,O,O,0
japan,O,LOC,1
time,O,O,0
),O,O,0
!,O,O,0
Thank,O,O,0
you,O,O,0
very,O,O,0
much,O,O,0
!,O,O,0
Friendly,O,O,0
Corina,PER,PER,0
Dumitrescu,PER,PER,0
's,O,O,0
!,O,O,0
Nature,O,O,0
is,O,O,0
Beautiful,O,O,0
!,O,O,0
spen,O,O,0
…,O,O,0
Joebarly,PER,O,1
Feat.,O,O,0
HitMaker,PER,O,1
Q,PER,O,1
–,O,O,0
Widd,MISC,O,1
It,MISC,O,1
URL1474,O,O,0
Major,O,O,0
#HipHop,O,O,0
...,O,O,0
Do,O,O,0
n't,O,O,0
look,O,O,0
at,O,O,0
me,O,O,0
like,O,O,0
that,O,O,0
.,O,O,0
You,O,O,0
and,O,O,0
I,O,O,0
both,O,O,0
know,O,O,0
there,O,O,0
's,O,O,0
nothing,O,O,0
I,O,O,0
can,O,O,0
do,O,O,0
.,O,O,0
All,O,O,0
I,O,O,0
did,O,O,0
was,O,O,0
unpack,O,O,0
my,O,O,0
shoes,O,O,0
/,O,O,0
purses,O,O,0
...,O,O,0
I,O,O,0
feel,O,O,0
like,O,O,0
I,O,O,0
unpacked,O,O,0
a,O,O,0
whole,O,O,0
damn,O,O,0
house,O,O,0
😨😖,O,O,0
@USER1927,O,O,0
thank,O,O,0
you,O,O,0
for,O,O,0
making,O,O,0
sure,O,O,0
that,O,O,0
is,O,O,0
exactly,O,O,0
what,O,O,0
is,O,O,0
going,O,O,0
to,O,O,0
happen,O,O,0
.,O,O,0
#ARSAVL,O,O,0
Get,MISC,O,1
Lost,MISC,MISC,0
Moon,MISC,MISC,0
for,O,O,0
FREE,O,O,0
on,O,O,0
URL358,O,O,0
-,O,O,0
your,O,O,0
weekly,O,O,0
game,O,O,0
#giveaway,O,O,0
#orlygift,O,O,0
#steam,O,O,0
#indi,O,O,0
RT,O,O,0
@USER2284,O,O,0
:,O,O,0
#Housing,O,O,0
Shortages,O,O,0
Stifle,O,O,0
Sales,O,O,0
Contracts,O,O,0
URL1476,O,O,0
-,O,O,0
more,O,O,0
from,O,O,0
@USER2379,O,O,0
#realestate,O,O,0
#phs,O,O,0
URL224,O,O,0
…,O,O,0
lowkey,O,O,0
obsessed,O,O,0
with,O,O,0
me,O,O,0
before,O,O,0
you,O,O,0
#DolceAmorePuSo,O,O,0
TWEET,O,O,0
BOOST,O,O,0
!,O,O,0
NOW,O,O,0
TRENDING,O,O,0
!,O,O,0
DOLCE,MISC,O,1
AMORE,MISC,O,1
lsmlm,O,O,0
RT,O,O,0
@USER1131,O,O,0
:,O,O,0
Omg,O,O,0
I,O,O,0
'm,O,O,0
at,O,O,0
this,O,O,0
youtube,ORG,ORG,0
party,O,O,0
and,O,O,0
these,O,O,0
people,O,O,0
write,O,O,0
first,O,O,0
impression,O,O,0
judgments,O,O,0
of,O,O,0
you,O,O,0
LOL,O,O,0
@USER1327,O,O,0
URL1086,O,O,0
…,O,O,0
RT,O,O,0
@USER2171,O,O,0
:,O,O,0
To,O,O,0
love,O,O,0
someone,O,O,0
is,O,O,0
to,O,O,0
see,O,O,0
a,O,O,0
miracle,O,O,0
invisible,O,O,0
to,O,O,0
others,O,O,0
.,O,O,0
#ALDUBSeeYouSoon,O,O,0
RT,O,O,0
@USER1618,O,O,0
:,O,O,0
This,O,O,0
how,O,O,0
you,O,O,0
need,O,O,0
to,O,O,0
be,O,O,0
thinking,O,O,0
girls,O,O,0
.,O,O,0
URL500,O,O,0
RT,O,O,0
@USER2272,O,O,0
:,O,O,0
Most,O,O,0
subscribed,O,O,0
music,O,O,0
artists,O,O,0
on,O,O,0
YouTube,ORG,ORG,0
:,O,O,0
#,O,O,0
1,O,O,0
Justin,PER,PER,0
Bieber,PER,PER,0
#,O,O,0
2,O,O,0
Rihanna,PER,PER,0
#,O,O,0
3,O,O,0
One,O,O,0
Direction,O,O,0
#,O,O,0
4,O,O,0
Taylor,PER,PER,0
Swift,PER,PER,0
URL852,O,O,0
…,O,O,0
RT,O,O,0
@USER1778,O,O,0
:,O,O,0
10,O,O,0
Worst,O,O,0
Feelings,O,O,0
:,O,O,0
Cheated,O,O,0
on,O,O,0
Over,O,O,0
thinking,O,O,0
Lied,O,O,0
to,O,O,0
Heart,O,O,0
broken,O,O,0
Not,O,O,0
cared,O,O,0
for,O,O,0
Losing,O,O,0
Scared,O,O,0
Assuming,O,O,0
Nervous,O,O,0
Letting,O,O,0
go,O,O,0
RT,O,O,0
@USER817,O,O,0
:,O,O,0
The,O,O,0
"""",O,O,0
Laugh,O,O,0
at,O,O,0
me,O,O,0
one,O,O,0
more,O,O,0
time,O,O,0
"""",O,O,0
starter,O,O,0
pack,O,O,0
URL357,O,O,0
Jessica,PER,PER,0
watched,O,O,0
@USER980,O,O,0
and,O,O,0
his,O,O,0
schemy,O,O,0
little,O,O,0
smirk,O,O,0
before,O,O,0
she,O,O,0
rolled,O,O,0
her,O,O,0
hazel,O,O,0
hues,O,O,0
at,O,O,0
his,O,O,0
response,O,O,0
.,O,O,0
"""",O,O,0
I,O,O,0
'm,O,O,0
glad,O,O,0
I,O,O,0
got,O,O,0
your,O,O,0
~~,O,O,0
RT,O,O,0
@USER1340,O,O,0
:,O,O,0
I,O,O,0
'm,O,O,0
the,O,O,0
type,O,O,0
of,O,O,0
person,O,O,0
to,O,O,0
never,O,O,0
get,O,O,0
any,O,O,0
sleep,O,O,0
because,O,O,0
all,O,O,0
I,O,O,0
do,O,O,0
each,O,O,0
night,O,O,0
is,O,O,0
overthink,O,O,0
the,O,O,0
smallest,O,O,0
shit,O,O,0
that,O,O,0
shouldn,O,O,0
',O,O,0
…,O,O,0
RT,O,O,0
@USER1413,O,O,0
:,O,O,0
Ever,O,O,0
eaten,O,O,0
a,O,O,0
banana,O,O,0
with,O,O,0
black,O,O,0
spots,O,O,0
?,O,O,0
This,O,O,0
is,O,O,0
what,O,O,0
they,O,O,0
're,O,O,0
doing,O,O,0
to,O,O,0
you,O,O,0
:,O,O,0
URL873,O,O,0
The,MISC,O,1
Wrong,MISC,O,1
Trousers,MISC,O,1
#CowellsChildrensTitles,O,O,0
RT,O,O,0
@USER2406,O,O,0
:,O,O,0
Leigh,PER,PER,0
Anne,PER,PER,0
Pinnock,PER,PER,0
URL1494,O,O,0
RT,O,O,0
@USER1988,O,O,0
:,O,O,0
There,O,O,0
is,O,O,0
a,O,O,0
difference,O,O,0
between,O,O,0
intuition,O,O,0
&,O,O,0
fear,O,O,0
they,O,O,0
both,O,O,0
can,O,O,0
serve,O,O,0
as,O,O,0
guides,O,O,0
",",O,O,0
but,O,O,0
only,O,O,0
the,O,O,0
intuition,O,O,0
feels,O,O,0
comfortable,O,O,0
RT,O,O,0
@USER383,O,O,0
:,O,O,0
What,O,O,0
?,O,O,0
You,O,O,0
expect,O,O,0
her,O,O,0
to,O,O,0
wear,O,O,0
a,O,O,0
suit,O,O,0
at,O,O,0
the,O,O,0
beach,O,O,0
?,O,O,0
URL1586,O,O,0
RT,O,O,0
@USER1634,O,O,0
:,O,O,0
We,O,O,0
want,O,O,0
a,O,O,0
#newsarunshow,O,O,0
with,O,O,0
@USER138,O,O,0
#BarunSobti,O,O,0
&,O,O,0
#SanayaIrani,O,O,0
(,O,O,0
#Sarun,O,O,0
),O,O,0
on,O,O,0
@USER1250,O,O,0
@USER1950,O,O,0
URL224,O,O,0
…,O,O,0
RT,O,O,0
@USER2376,O,O,0
:,O,O,0
every,O,O,0
morning,O,O,0
is,O,O,0
a,O,O,0
continuous,O,O,0
cycle,O,O,0
of,O,O,0
wow,O,O,0
i,O,O,0
ca,O,O,0
n't,O,O,0
wait,O,O,0
to,O,O,0
go,O,O,0
to,O,O,0
bed,O,O,0
tonight,O,O,0
"1,000,000",O,O,0
Real,O,O,0
YouTube,ORG,ORG,0
Views,O,O,0
",",O,O,0
$,O,O,0
2000,O,O,0
!!,O,O,0
URL524,O,O,0
RT,O,O,0
@USER1755,O,O,0
:,O,O,0
Beer,O,O,0
Director,O,O,0
Greg,PER,PER,0
Engert,PER,PER,0
getting,O,O,0
ready,O,O,0
to,O,O,0
taste,O,O,0
some,O,O,0
springtime,O,O,0
brews,O,O,0
on,O,O,0
@USER1704,O,O,0
!,O,O,0
RT,O,O,0
@USER916,O,O,0
:,O,O,0
Found,O,O,0
some,O,O,0
cool,O,O,0
fans,O,O,0
at,O,O,0
the,O,O,0
@USER760,O,O,0
display,O,O,0
who,O,O,0
have,O,O,0
NO,O,O,0
idea,O,O,0
I,O,O,0
'm,O,O,0
about,O,O,0
to,O,O,0
surprise,O,O,0
them,O,O,0
w/,O,O,0
pre-race,O,O,0
passes,O,O,0
!,O,O,0
🎉,O,O,0
-,O,O,0
JW,O,O,0
URL0,O,O,0
…,O,O,0
RT,O,O,0
@USER1960,O,O,0
:,O,O,0
Uncountable,O,O,0
!,O,O,0
#ServicesByMSG,O,O,0
.,O,O,0
Are,O,O,0
going,O,O,0
Onn,O,O,0
Across,O,O,0
The,O,O,0
Globe,O,O,0
under,O,O,0
HIS,O,O,0
HOLINESS,O,O,0
@USER530,O,O,0
',O,O,0
:-),O,O,0
URL1360,O,O,0
RT,O,O,0
@USER291,O,O,0
:,O,O,0
I,O,O,0
love,O,O,0
this,O,O,0
cat,O,O,0
.,O,O,0
URL1120,O,O,0
#VeranoMTV2016,O,O,0
5,O,O,0
Seconds,O,O,0
of,O,O,0
Summer,O,O,0
16,O,O,0
RT,O,O,0
@USER2282,O,O,0
:,O,O,0
HARRY,PER,PER,0
IS,O,O,0
STRONG,O,O,0
BUT,O,O,0
CA,O,O,0
N'T,O,O,0
EVEN,O,O,0
OPEN,O,O,0
A,O,O,0
BAG,O,O,0
OF,O,O,0
GOLDFISH,MISC,O,1
URL389,O,O,0
North,LOC,O,1
Ends,LOC,O,1
getting,O,O,0
a,O,O,0
theatre,O,O,0
🤘🏻😍,O,O,0
URL819,O,O,0
RT,O,O,0
@USER2394,O,O,0
:,O,O,0
26,O,O,0
.,O,O,0
dick,MISC,O,1
and,MISC,O,1
dom,MISC,O,1
in,MISC,O,1
da,MISC,O,1
bungalow,MISC,O,1
they,O,O,0
were,O,O,0
just,O,O,0
discount,O,O,0
ant,PER,O,1
and,PER,O,1
dec,PER,O,1
but,O,O,0
i,O,O,0
loved,O,O,0
it,O,O,0
anyway,O,O,0
URL1270,O,O,0
k,O,O,0
but,O,O,0
@USER2313,O,O,0
is,O,O,0
legit,O,O,0
cute,O,O,0
af,O,O,0
so,O,O,0
I,O,O,0
'm,O,O,0
confused,O,O,0
😩,O,O,0
#pray,O,O,0
Jehovah,MISC,PER,1
Sabaoth,MISC,PER,1
restore,O,O,0
Jamaican,MISC,O,1
lady,O,O,0
's,O,O,0
privacy,O,O,0
Completely,O,O,0
&,O,O,0
